L1,L2,L3,L4,L5,Label,ShortName,Description,TranslateTo,
3,4,2,0,0,mod.exp.inverse,Inversās klases,"Lietot inversās kongruenču klases, katram (mod m) noteikt, kad tās eksistē.",ModularArithmetic,
3,4,3,0,0,mod.exp.fermat,Mazā Fermā teorēma,"Lietot Mazo Fermā teorēmu: $a^{p-1}$ kongruents ar 1 katram pirmskaitlim $p$, ja $LKD(a,p)=1$",LittleFermatAndEuler,
3,5,0,0,0,mod.period,Atlikumu virkņu periodiskums (cits),"Izmantot citu atlikumu virkņu periodiskumu, ja katru nākamo atlikumu nosaka iepriekšējais (vai galīgs skaits iepriekšējo)",PeriodicRemainders,
3,6,0,0,0,mod.eq,Kongruenču vienādojumi,"Secināt par kongruenču vienādojumiem un risināt tos (t.sk. ar lineāriem pārveidojumiem - pieskaitot, atņemot vai reizinot ar skaitli)",CongruenceEquations,
3,6,1,0,0,mod.eq.linear,Lineāras kongruences,"Risināt lineāras kongruences, piemēram, izmantojot inversos elementus.",CongruenceEquationsLinear,
3,6,2,0,0,mod.eq.contradict,Vienādojuma neesamība,"Secināt, ka veselu skaitļu vienādojumam nav atrisinājumu kongruenču pretrunas dēļ",ModularArithmeticContradiction,
3,6,3,0,0,mod.eq.chinese,Ķīniešu atlikumu teorēma,Izmantot ķīniešu atlikumu teorēmu,ChineseRemainderTheorem,
4,0,0,0,0,nota,Skaitļa pieraksts,Izmantot spriedumos skaitļa pierakstu,NumeralSystems,
4,1,0,0,0,nota.est,Decimālpieraksts,Izmantot skaitļa decimālpierakstu,DecimalNotation,
4,1,1,0,0,nota.est.numdigits,Ciparu skaits,Novērtēt ciparu skaitu dažādu darbību rezultātos,DecimalNotationDigits,
4,1,1,1,0,nota.est.numdigits.sum,Summas ciparu skaits,Novērtēt ciparu skaitu divu vai vairāku skaitļu summā,DigitsInOperationResult,
4,1,1,2,0,nota.est.numdigits.prod,Reizinājuma ciparu skaits,Novērtēt ciparu skaitu divu skaitļu reizinājumā,DigitsInOperationResult,
4,2,0,0,0,nota.divrule,Dalāmības pazīmes,Izmantot dalāmības pazīmes,DivisibilityRules,
4,2,1,0,0,nota.divrule.2_5_10,"Dalāmība ar 2, 5, 10","Izmantot dalāmības pazīmes ar 2 vai 5, vai 10",DivisibilityRulesFor2And4,
4,2,1,1,0,nota.divrule.2_5_10.divides,"Dalās ar 2, 5, 10","Secināt, ka skaitlis dalās ar 2 (vai 5, vai 10), ja tā pēdējais cipars dalās ar to un otrādi",DivisibilityRulesFor2And4,
4,2,1,2,0,nota.divrule.2_5_10.rem,"Atlikums dalot ar 2, 5, 10","Secināt, ka atlikums, dalot ar 2 (vai 5, vai 10), sakrīt ar pēdējā cipara atlikumu",DivisibilityRulesForRemainders,
4,2,2,0,0,nota.divrule.2_5pow,Dalāmība ar 2 un 5 pakāpi,Izmantot dalāmības pazīmes ar $2^a \cdot 5^b$,DivisibilityRulesLastDigits,
4,2,2,1,0,nota.divrule.2_5pow.divides,Pēdējo ciparu dalāmība,"Secināt, ka skaitlis dalās ar $2^a \cdot 5^b$, ja max(a,b) pēdējie cipari dalās ar to",DivisibilityRulesLastDigits,
4,2,2,2,0,nota.divrule.2_5pow.rem,Pēdējo ciparu atlikums,"Secināt, ka atlikums, dalot ar $2^a \cdot 5^b$, sakrīt ar pēdējo max(a,b) ciparu atlikumu",DivisibilityRulesForRemainders,
4,2,3,0,0,nota.divrule.3_9,Dalāmība ar 3 vai 9,Izmantot dalāmības pazīmes ar 3 vai 9,DivisibilityRulesFor3And9,
4,2,3,1,0,nota.divrule.3_9.divides,Dalās ar 3 vai 9,"Secināt, ka skaitlis dalās ar 3 (vai 9), ja tā ciparu summa dalās ar 3 (vai 9) un otrādi",DivisibilityRulesFor3And9,
4,2,3,2,0,nota.divrule.3_9.rem,Atlikums dalot ar 3 vai 9,"Secināt, ka atlikums, dalot ar 3 (vai 9), sakrīt ar ciparu summas atlikumu",DivisibilityRulesForRemainders,
4,2,4,0,0,nota.divrule.11,Dalāmības pazīme ar 11,Izmantot dalāmības pazīmi ar 11,DivisibilityRuleFor11,
4,2,5,0,0,nota.divrule.101,Dalāmības pazīme ar 101,Izmantot dalāmības pazīmi ar 101 (no beigām pārmaiņus pieskaita un atņem 2 ciparu grupiņas),DivisibilityRulesOther,
4,2,6,0,0,nota.divrule.1001,Dalāmības pazīmes 1001 dalītājiem,Izmantot dalāmības pazīmes 1001 dalītājiem,DivisibilityRulesOther,
4,2,5,0,0,nota.divrule.composite,Kombinētās dalāmības pazīmes,Izmantot kombinētās dalāmības pazīmes skaitļa decimālpierakstā (ar 2 un 3 utml.),DivisibilityRulesOther,
4,3,0,0,0,nota.combine,Skaitļa pārveidojumi,"Saprast, kā mainās skaitlis, ja tajā pārvieto vai iesprauž ciparus",NotationManipulate,
4,3,1,0,0,nota.combine.poly,Decimāla izteiksme,"Izteikt skaitli ar decimālpieraksta cipariem, reizinot ar $10^k$",NotationPolynomial,
4,3,1,1,0,nota.combine.poly.pieces,Izteikšana ar cipariem,"Izteikt skaitli gan ar cipariem, gan garākiem gabaliem",NotationFragments,
4,3,2,0,0,nota.combine.split,Izteikšana divos gabalos,"Izteikt garu skaitli divos gabalos, piereizinot vienu no tiem ar $10^k$",NotationShift,
4,3,3,0,0,nota.combine.padding,Jaunu ciparu iespraušana,"Veidot jaunus piemērus, iespraužot skaitļa decimālpierakstā jaunus ciparus.",NotationInsert,
4,4,0,0,0,nota.algor,Pozicionālais algoritms,Izmantot ar pozicionālo pierakstu saistītos algoritmus,NumericAlgorithms,
4,4,1,0,0,nota.algor.arithm,Darbības stabiņā,Veikt galīgas darbības stabiņā,NumericAlgorithms,
4,4,2,0,0,nota.algor.fast,Ātras darbības,"Ātri veikt darbības, piemēram, kāpināt kvadrātā skaitļus, kuri beidzas ar 5",NumericAlgorithms,
4,4,3,0,0,nota.algor.longdiv,Dalīšana stabiņā,Veikt dalīšanu stabiņā,NumericAlgorithms,
4,4,4,0,0,nota.algor.nondec,Nedecimālās sistēmas,Izmantot nedecimālās sistēmas,OtherNumeralSystems,
5,0,0,0,0,seq,Veselu skaitļu virknes,Lietot zināšanas par veselu skaitļu virknēm,NumericSequences,
5,1,0,0,0,seq.arithm,Aritmētiskās progresijas,Lietot zināšanas par aritmētiskām progresijām,ArithmeticAndGeometricSeries,
5,1,1,0,0,seq.arithm.expr,Vispārīgā locekļa formula,Izmantot aritmētiskas progresijas vispārīgā locekļa formulu $a_n=a_1+(n-1) \cdot d$,SeriesMembersSumsClosedFormulas,
5,1,2,0,0,seq.arithm.numestimate,Dalāmo skaitļu novērtēšana,"Novērtēt skaitļu skaitu, kas dalās ar d starp pirmajiem n skaitļiem ar [n/d] (un vispārināt citām aritmētiskām progresijām)",MultiplesInInterval,
5,1,3,0,0,seq.arithm.pairsum,Pretējo pāru summas,"Izmantot spriedumos aritmētiskas progresijas locekļu ""pretējo pāru"" summu vienādību",SeriesMembersSumsClosedFormulas,
5,1,4,0,0,seq.arithm.summation,Aritmētiskas progresijas summa,Izmantot aritmētiskas progresijas summas formulu,SeriesMembersSumsClosedFormulas,
5,1,5,0,0,seq.arithm.mod,Aritmētiskas progresijas atlikumi,Secināt par aritmētiskas progresijas locekļu dalāmību,ArithmeticSeriesDivisibility,
5,1,5,1,0,seq.arithm.mod.gaps,Aritm. progr. dalāmība,"Secināt, ka katrs p-tais aritm. progresijas loceklis dalās ar $p$, ja $\mbox{LKD}(d,p)=1$",ArithmeticSeriesGaps,
5,1,5,2,0,seq.arithm.mod.all,Aritm. progr. atlikumi,"Secināt, ka aritm. progresija pieņem visus atlikumus, dalot ar p, ja $\mbox{LKD}(d,p)=1$",ArithmeticSeriesAll,
5,2,0,0,0,seq.geom,Ģeom. progr. īpašības,Izmantot ģeometriskas progresijas īpašības,ArithmeticAndGeometricSeries,
5,2,1,0,0,seq.geom.decnotation,Skaitļu ģeom. attēlojums,"Izteikt skaitļus, kuru pierakstā atkārtojas ciparu grupas, ar ģeometrisku progresiju",PeriodicDigitGroups,
5,2,2,0,0,seq.geom.summation,Galīgas ģeom. summas,Izmantot galīgas ģeometriskas progresijas summas formulu,SeriesMembersSumsClosedFormulas,
5,2,3,0,0,seq.geom.estimate,Skaitļa reizināšana,"Novērtēt, cik reizes skaitli vajag reizināt vai dalīt ar kaut ko, lai iegūtu vajadzīgo vērtību.",DefiningRecurrentSequences,
5,2,4,0,0,seq.geom.infinite,Bezgalīgas ģeom. progr.,"Izmantot bezgalīgas ģeometriskas progresijas, piemēram, nosakot bezgalīgas decimāldaļas",ComputingPeriodicFractions,
5,3,0,0,0,seq.recur,Virkņu analīze,"Veikt spriedumus par pazīstamām virknēm, kas nav progresijas",RecurrentSequences,
5,3,1,0,0,seq.recur.fibonacci,Fibonači virkne,Izmantot Fibonači skaitļu jēdzienu vienkāršu secinājumu izdarīšanai,FibonacciNumbers,
5,3,2,0,0,seq.recur.linear,Lineāras rekurentes,"Izmantot rekurentu virkņu īpašības, kas aprakstāmas ar lineāru izteiksmi",LinearRecurrencesConstant,
5,3,3,0,0,seq.recur.other,Citas rekurentes,Izmantot citu rekurenti definētu virkņu īpašības,NonlinearRecurrences,
5,4,0,0,0,seq.gaps,Virkņu starpības,Izmantot spriedumus par dažu virkņu kaimiņu locekļu starpībām,SequenceGaps,
5,4,1,0,0,seq.gaps.squares,Kvadrātu starpības,"Izmantot to, ka pilnu kvadrātu atstarpes aug aritmētiskā progresijā",FullPowerGaps,
5,4,2,0,0,seq.gaps.cubes,Kubu starpības,"Izmantot to, ka pilnu kubu atstarpes aug kā kvadrātiska funkcija",FullPowerGaps,
5,4,3,0,0,seq.gaps.geom,2^n locekļu starpības,"Izmantot to, ka $2^n$ locekļu starpības aug ģeometriskā progresijā.",GeometricSeriesGaps,
