L1,L2,L3,L4,L5,Label,ShortDescription,BestSamples,Comments
6,4,2,0,0,comb.constr.iterative,Konstruēt ar iteratīviem uzlabojumiem,,
6,4,3,0,0,comb.constr.color,Pielietot tabulai krāsojumu (izvietot skaitļus šaha galdiņa rakstā utml.),,
6,4,4,0,0,comb.constr.partition,Pielietot citu dalījumu disjunktās apakškopās,,
7,0,0,0,0,misc,Izmantot dažādas ārpus skaitļu teorijas pazīstamas metodes,,
7,1,0,0,0,misc.try,"Ievietot dažas nelielas vērtības, apkopot datus tabulās, izdarīt hipotēzes ar nepilno indukciju",,
7,2,0,0,0,misc.extr,Izmantot spriedumus par ekstrēmo elementu,,
7,2,1,0,0,misc.extr.pigeon,Izmantot Dirihlē principu,,
7,2,2,0,0,misc.extr.param,"Sākt risināt vienādojumu, ievietojot ekstrēmu parametra vai potenciālās saknes vērtību",,
7,3,0,0,0,misc.invar,Izmantot invariantus,,
7,3,1,0,0,misc.invar.parity,Lietot paritāti kā invariantu,,
7,3,2,0,0,misc.invar.congr,Lietot atlikumu/kongruenci kā invariantu,,
7,3,3,0,0,misc.invar.expr,Veidot un lietot citu izteiksmi kā invariantu,,
7,3,4,0,0,misc.invar.game,"Izveidot invariantu, kurš izpildās pēc katra uzvarētāja gājiena kombinatoriskā spēlē",,
7,4,0,0,0,misc.ind,Pamatot ar matemātisko indukciju,,
7,4,1,0,0,misc.ind.least,Izmantot naturālo skaitļu sakārtojuma principu: katrā naturālu skaitļu kopā atradīsies vismazākais elements,,
7,4,2,0,0,misc.ind.descent,"Lietot neierobežotā samazinājuma metodi (piemēram, pamatojot veselu skaitļu sakņu iracionalitāti, ja tās nav veseli skaitļi)",,
7,5,0,0,0,misc.symm,Izmantot uzdevumā esošo simetriju,,
7,5,1,0,0,misc.symm.rename,"Izmantot mainīgo pārsaukšanu simetriskā izteiksmē, lai izdarītu papildu pieņēmumus (teiksim, a<b)",,
7,5,2,0,0,misc.symm.periodicity,"Izmantot virkņu periodiskumu, lai aplūkotu tikai vienu periodu. ",,
